scenario,arm,arm_label,lambda,cost_std,seed,horizon,cycle,price,observed_demand,estimated_elasticity,true_elasticity,residual_bias,realized_profit,oracle_price,oracle_profit,cumulative_regret
reference,greedy,Naive (greedy),0.6,0.3,2,200,103,3.064269369396023,25.384138193701574,-1.3400182505079257,-1.5,0.15998174949207433,58.04684906790781,1.5550646562793182,49.219059596712164,1155.9549655364797
reference,greedy,Naive (greedy),0.6,0.3,2,200,104,6.244664206119299,5.674202728114439,-1.442523774145886,-1.5,0.05747622585411394,26.442543346771483,3.1690610147575597,22.900891257715827,1152.4133134474241
reference,greedy,Naive (greedy),0.6,0.3,2,200,105,4.878301888732079,9.674457987700688,-1.442523774145886,-1.5,0.05747622585411394,32.71691428573049,2.9930384537376824,26.016999660669853,1145.7133988223634
reference,greedy,Naive (greedy),0.6,0.3,2,200,106,2.7798738345517093,29.43474942000895,-1.442523774145886,-1.5,0.05747622585411394,56.7234254338146,1.7055667060233972,47.23163156388819,1136.221604952437
reference,greedy,Naive (greedy),0.6,0.3,2,200,107,3.21473230169935,20.425334575262095,-1.442523774145886,-1.5,0.05747622585411394,45.51882194869882,1.9723702257302518,38.684594254746415,1129.3873772584845
reference,greedy,Naive (greedy),0.6,0.3,2,200,108,2.4177556984362254,34.56903728896862,-1.5552792609089277,-1.5,-0.05527926090892765,57.939763900491286,1.4833923652568075,50.24193256945672,1121.68954592745
reference,greedy,Naive (greedy),0.6,0.3,2,200,109,4.349675754412781,10.005836055638996,-1.5552792609089277,-1.5,-0.05527926090892765,27.983490545876105,3.105917758708212,22.76801216234471,1116.4740675439184
reference,greedy,Naive (greedy),0.6,0.3,2,200,110,3.164026698879066,19.50662140461117,-1.5552792609089277,-1.5,-0.05527926090892765,39.68385130593579,2.2592963861974393,33.79544732788148,1110.585663565864
reference,greedy,Naive (greedy),0.6,0.3,2,200,111,2.7221440861175976,25.671538130152587,-1.5552792609089277,-1.5,-0.05527926090892765,44.93188294795202,1.9437668773948882,39.09737021568107,1104.751150833593
reference,greedy,Naive (greedy),0.6,0.3,2,200,112,3.164544848831523,18.27599165053836,-1.5974820945161015,-1.5,-0.09748209451610146,37.18637333413638,2.259666374957493,32.82172630550348,1100.3865038049603
reference,greedy,Naive (greedy),0.6,0.3,2,200,113,3.0515399011769477,19.491002002759174,-1.5974820945161015,-1.5,-0.09748209451610146,37.23207322918757,2.282642738736854,32.622705296450356,1095.777135872223
reference,greedy,Naive (greedy),0.6,0.3,2,200,114,2.363185863173925,32.13843766529752,-1.5974820945161015,-1.5,-0.09748209451610146,47.54300646989943,1.7677334151124862,42.30866377038262,1090.542793172706
reference,greedy,Naive (greedy),0.6,0.3,2,200,115,1.8422545233571914,50.72636656800264,-1.5974820945161015,-1.5,-0.09748209451610146,58.498858036769036,1.378061256555915,52.53540677795365,1084.5793419138906
reference,greedy,Naive (greedy),0.6,0.3,2,200,116,1.8190894089180727,48.984255985401475,-1.6337108254221486,-1.5,-0.13371082542214863,55.77949297376453,1.3607330609632347,50.395330688258014,1079.195179628384
reference,greedy,Naive (greedy),0.6,0.3,2,200,117,1.5303654962810347,65.93963526774287,-1.6337108254221486,-1.5,-0.13371082542214863,61.76842381211148,1.1872470534621489,55.31112379416197,1072.7378796104344
reference,greedy,Naive (greedy),0.6,0.3,2,200,118,2.9606014889422343,16.6449450422424,-1.6337108254221486,-1.5,-0.13371082542214863,30.16387497015629,2.296814324920479,27.221294097799003,1069.7952987380772
