category,family,arm,seed,lambda_value,lambda_anchor,first_stage_r2,direction,true_elasticity,final_estimated_elasticity,final_abs_bias,final_regret,regret_pct_of_oracle
CRA,causal,twosls,0,0.3,0.025,0.41,loop,-2.44,-2.0,0.44,596.63,12.7
CRA,baseline,greedy,0,0.4,0.025,0.41,loop,-2.44,-2.3989,0.0411,2671.53,56.87
CRA,exploration,controlled_variance,0,0.4,0.025,0.41,loop,-2.44,-2.3173,0.1227,2718.18,57.87
CRA,causal,twosls,0,0.4,0.025,0.41,loop,-2.44,-2.0,0.44,780.0,16.61
CRA,baseline,greedy,0,0.6,0.025,0.41,loop,-2.44,-2.2758,0.1642,2331.3,49.63
CRA,exploration,controlled_variance,0,0.6,0.025,0.41,loop,-2.44,-2.3197,0.1203,3758.65,80.02
CRA,causal,twosls,0,0.6,0.025,0.41,loop,-2.44,-2.0,0.44,1250.8,26.63
CRA,baseline,greedy,0,0.8,0.025,0.41,loop,-2.44,-2.2663,0.1737,2846.43,60.6
CRA,exploration,controlled_variance,0,0.8,0.025,0.41,loop,-2.44,-2.3308,0.1092,5633.68,119.93
CRA,causal,twosls,0,0.8,0.025,0.41,loop,-2.44,-2.0,0.44,1954.38,41.61
FEC,baseline,greedy,0,0.0,0.024,0.26,loop,-2.2,-0.3295,1.8705,4825.6,83.73
FEC,exploration,controlled_variance,0,0.0,0.024,0.26,loop,-2.2,-2.1157,0.0843,3106.75,53.9
FEC,causal,twosls,0,0.0,0.024,0.26,loop,-2.2,-2.8994,0.6994,210.16,3.65
FEC,baseline,greedy,0,0.1,0.024,0.26,loop,-2.2,-0.4285,1.7715,4875.25,84.59
FEC,exploration,controlled_variance,0,0.1,0.024,0.26,loop,-2.2,-1.9947,0.2053,2868.59,49.77
FEC,causal,twosls,0,0.1,0.024,0.26,loop,-2.2,-2.0,0.2,183.96,3.19
FEC,baseline,greedy,0,0.2,0.024,0.26,loop,-2.2,-0.8575,1.3425,4925.52,85.46
FEC,exploration,controlled_variance,0,0.2,0.024,0.26,loop,-2.2,-1.9772,0.2228,2625.06,45.55
FEC,causal,twosls,0,0.2,0.024,0.26,loop,-2.2,-2.0,0.2,347.8,6.03
FEC,baseline,greedy,0,0.3,0.024,0.26,loop,-2.2,-1.0286,1.1714,4978.92,86.39
FEC,exploration,controlled_variance,0,0.3,0.024,0.26,loop,-2.2,-1.9864,0.2136,2789.26,48.4
FEC,causal,twosls,0,0.3,0.024,0.26,loop,-2.2,-2.0,0.2,557.11,9.67
FEC,baseline,greedy,0,0.4,0.024,0.26,loop,-2.2,-2.0991,0.1009,3992.74,69.28
FEC,exploration,controlled_variance,0,0.4,0.024,0.26,loop,-2.2,-1.9562,0.2438,3027.75,52.53
FEC,causal,twosls,0,0.4,0.024,0.26,loop,-2.2,-2.0,0.2,806.47,13.99
FEC,baseline,greedy,0,0.6,0.024,0.26,loop,-2.2,-2.0489,0.1511,3443.63,59.75
FEC,exploration,controlled_variance,0,0.6,0.024,0.26,loop,-2.2,-1.9934,0.2066,3819.25,66.27
FEC,causal,twosls,0,0.6,0.024,0.26,loop,-2.2,-2.0,0.2,1437.68,24.94
FEC,baseline,greedy,0,0.8,0.024,0.26,loop,-2.2,-1.9813,0.2187,3654.07,63.4
FEC,exploration,controlled_variance,0,0.8,0.024,0.26,loop,-2.2,-1.9842,0.2158,5199.05,90.21
FEC,causal,twosls,0,0.8,0.024,0.26,loop,-2.2,-2.0,0.2,2336.94,40.55
TBR,baseline,greedy,0,0.0,0.018,0.2,loop,-1.25,-0.1857,1.0643,2228.81,17.17
TBR,exploration,controlled_variance,0,0.0,0.018,0.2,loop,-1.25,-0.5834,0.6666,2586.17,19.92
